SmartScore,Ticker,Price,Market Capitalization,Sector,Industry
6,DIS,105.44,1.93E+11,Consumer Services,Movies/Entertainment
10,TMUS,162.83,1.91E+11,Communications,Wireless Telecommunications
10,BABA,78.46,1.87E+11,Retail Trade,Internet Retail
8,PDD,139.16,1.85E+11,Retail Trade,Department Stores
9,GE,168.86,1.85E+11,Producer Manufacturing,Industrial Machinery
5,DHR,249.55,1.85E+11,Health Technology,Medical Specialties
6,ABT,104.94,1.83E+11,Health Technology,Medical Specialties
10,INTU,632.43,1.77E+11,Technology Services,Packaged Software
7,AMAT,207.36,1.72E+11,Producer Manufacturing,Industrial Machinery
10,HSBC,45.4,1.70E+11,Finance,Major Banks
7,AXP,236.24,1.70E+11,Finance,Finance/Rental/Leasing
9,TTE,72.15,1.68E+11,Energy Minerals,Integrated Oil
10,CAT,344.5,1.68E+11,Producer Manufacturing,Trucks/Construction/Farm Machinery
5,TXN,183.95,1.67E+11,Electronic Technology,Semiconductors
9,VZ,39.48,1.66E+11,Communications,Wireless Telecommunications
9,AMGN,307.31,1.65E+11,Health Technology,Pharmaceuticals: Major
8,PFE,28.27,1.60E+11,Health Technology,Pharmaceuticals: Major
8,IBM,169.9,1.56E+11,Technology Services,Packaged Software
9,MS/PP,25.65,1.55E+11,Finance,Investment Managers
9,MS/PO,18.88,1.55E+11,Finance,Investment Managers
9,MS/PL,22.14,1.55E+11,Finance,Investment Managers
9,MS/PK,24.41,1.55E+11,Finance,Investment Managers
9,MS/PI,24.96,1.55E+11,Finance,Investment Managers
9,MS/PF,25.23,1.55E+11,Finance,Investment Managers
9,MS/PE,25.31,1.55E+11,Finance,Investment Managers
9,MS/PA,22.7,1.55E+11,Finance,Investment Managers
9,MS,95.64,1.55E+11,Finance,Investment Managers
8,CMCSA,39.05,1.54E+11,Consumer Services,Cable/Satellite TV
9,PM,98.25,1.53E+11,Consumer Non-Durables,Tobacco
10,UNP,245.9,1.50E+11,Transportation,Railroads
7,NEE/PR,43.36,1.50E+11,Utilities,Electric Utilities
7,NEE,72.85,1.50E+11,Utilities,Electric Utilities
9,NOW,721.03,1.48E+11,Technology Services,Packaged Software
7,BX,119.8,1.45E+11,Finance,Investment Managers
8,BHP,56.5,1.45E+11,Non-Energy Minerals,Steel
7,GS/PK,25.02,1.44E+11,Finance,Investment Banks/Brokers
7,GS/PD,22.76,1.44E+11,Finance,Investment Banks/Brokers
7,GS/PC,23.24,1.44E+11,Finance,Investment Banks/Brokers
7,GS/PA,22.99,1.44E+11,Finance,Investment Banks/Brokers
7,GS,446.95,1.44E+11,Finance,Investment Banks/Brokers
10,COP,123.06,1.44E+11,Energy Minerals,Oil & Gas Production
10,RY,101.85,1.43E+11,Finance,Major Banks
10,NKE,93.59,1.41E+11,Consumer Non-Durables,Apparel/Footwear
8,SCHW/PJ,20.19,1.40E+11,Finance,Investment Banks/Brokers
8,SCHW/PD,24.975,1.40E+11,Finance,Investment Banks/Brokers
8,SCHW,76.4,1.40E+11,Finance,Investment Banks/Brokers
10,UBER,66.4,1.38E+11,Transportation,Other Transportation
7,RTX,103.94,1.38E+11,Electronic Technology,Aerospace & Defense
8,ISRG,380.37,1.35E+11,Health Technology,Medical Specialties
3,HDB,56.07,1.35E+11,Finance,Major Banks
8,SPGI,429.21,1.34E+11,Commercial Services,Financial Publishing/Services
4,LOW,232.07,1.33E+11,Retail Trade,Home Improvement Chains
10,UL,52.69,1.32E+11,Consumer Non-Durables,Household/Personal Care
9,MU,119.32,1.32E+11,Electronic Technology,Semiconductors
9,ETN,330.4,1.32E+11,Producer Manufacturing,Electrical Products
10,HON,198.05,1.29E+11,Electronic Technology,Aerospace & Defense
9,BUD,62.99,1.29E+11,Consumer Non-Durables,Beverages: Alcoholic
8,INTC,30,1.28E+11,Electronic Technology,Semiconductors
5,UPS,147.77,1.26E+11,Transportation,Air Freight/Couriers
4,SNY,50.1,1.26E+11,Commercial Services,Miscellaneous Commercial Services
6,PGR,215.9,1.26E+11,Finance,Multi-Line Insurance
9,SYK,329.28,1.25E+11,Health Technology,Medical Specialties
6,ELV,533.35,1.24E+11,Health Services,Managed Health Care
7,BKNG,3660,1.24E+11,Consumer Services,Other Consumer Services
,TBC,24.09,1.23E+11,Communications,Wireless Telecommunications
,TBB,23.11,1.23E+11,Communications,Wireless Telecommunications
9,T/PC,19.76,1.23E+11,Communications,Wireless Telecommunications
9,T/PA,21.15,1.23E+11,Communications,Wireless Telecommunications
9,T,17.11,1.23E+11,Communications,Wireless Telecommunications
9,C,62.75,1.20E+11,Finance,Major Banks
9,LRCX,913.28,1.19E+11,Producer Manufacturing,Industrial Machinery
10,RIO,69.02,1.18E+11,Non-Energy Minerals,Other Metals/Minerals
7,BLK,778.33,1.16E+11,Finance,Investment Managers
6,MUFG,10.11,1.15E+11,Finance,Major Banks
8,DE,405.42,1.13E+11,Producer Manufacturing,Trucks/Construction/Farm Machinery
9,TJX,98.5,1.12E+11,Retail Trade,Apparel/Footwear Retail
8,LMT,466.16,1.12E+11,Electronic Technology,Aerospace & Defense
7,BA,180.35,1.11E+11,Electronic Technology,Aerospace & Defense
,PBR.A,16.16,1.09E+11,Energy Minerals,Integrated Oil
8,PBR,17.12,1.09E+11,Energy Minerals,Integrated Oil
N/A,ARM,106.07,1.09E+11,Electronic Technology,Semiconductors
6,VRTX,418.82,1.08E+11,Health Technology,Pharmaceuticals: Major
9,MDT,81.55,1.08E+11,Health Technology,Medical Specialties
6,BSX,72.72,1.07E+11,Health Technology,Medical Specialties
8,REGN,955.76,1.05E+11,Health Technology,Pharmaceuticals: Major
9,BP,37.53,1.04E+11,Energy Minerals,Integrated Oil
10,CB,251.63,1.02E+11,Finance,Property/Casualty Insurance
6,ADI,204.86,1.02E+11,Electronic Technology,Semiconductors
10,ABNB,157.9,1.02E+11,Consumer Services,Other Consumer Services
5,PLD,105.88,1.00E+11,Finance,Real Estate Investment Trusts
5,MMC,203.59,1.00E+11,Finance,Insurance Brokers/Services
8,ADP,242.94,99433241889,Technology Services,Packaged Software
6,TD,56.01,99255321602,Finance,Major Banks
7,RACE,406.22,99023111532,Consumer Durables,Motor Vehicles
7,CI,347.35,98673107415,Health Services,Managed Health Care
7,PANW,303.01,97902536005,Technology Services,Packaged Software
10,KLAC,717.15,96557046021,Electronic Technology,Electronic Equipment/Instruments
7,SONY,78.35,95059733050,Electronic Technology,Computer Processing Hardware
6,IBN,26.94,94501655169,Finance,Regional Banks
7,MDLZ,70.43,94471915398,Consumer Non-Durables,Food: Specialty/Candy
10,DELL,131.61,93941944888,Electronic Technology,Computer Processing Hardware
8,UBS,28.83,92406899725,Finance,Investment Managers
10,ANET,291.67,91470228091,Electronic Technology,Computer Peripherals
8,GSK,44.14,90368534138,Health Technology,Pharmaceuticals: Major
6,FI,153.29,89690261368,Finance,Regional Banks
8,BMY,43.67,88523457553,Health Technology,Pharmaceuticals: Major
4,SCCO,112.98,88255063330,Non-Energy Minerals,Other Metals/Minerals
7,KKR,99.67,88208501967,Finance,Investment Managers
7,CMG,3183.25,87434324739,Consumer Services,Restaurants
9,MELI,1716.78,87036354419,Retail Trade,Internet Retail
,SOJE,19.585,84882668824,Utilities,Electric Utilities
,SOJD,21.7,84882668824,Utilities,Electric Utilities
,SOJC,23.13,84882668824,Utilities,Electric Utilities
6,SO,77.63,84882668824,Utilities,Electric Utilities
5,AMT,181.33,84676584246,Finance,Real Estate Investment Trusts
10,WM,210,84227450867,Industrial Services,Environmental Services
7,SNPS,550.49,83973772169,Technology Services,Packaged Software
7,EQNR,28.13,83425923724,Energy Minerals,Integrated Oil
3,SBUX,73.5,83253446411,Consumer Services,Restaurants
5,CNQ,77.1,82562146528,Energy Minerals,Oil & Gas Production
7,HCA,309.42,81041462178,Health Services,Hospital/Nursing Management
8,SAN,5.05,81023227514,Finance,Major Banks
6,GILD,64.92,80953240666,Health Technology,Biotechnology
7,SHW,319,80882144318,Process Industries,Industrial Specialties
5,SHOP,62.73,80745267302,Technology Services,Information Technology Services
6,GD,292.74,80317345484,Electronic Technology,Aerospace & Defense
7,RELX,42.94,80210636300,Commercial Services,Miscellaneous Commercial Services
8,CNI,125.85,80065771253,Transportation,Railroads
5,ENB,37.23,79135575903,Industrial Services,Oil & Gas Pipelines
,DUKB,24.19,78981849975,Utilities,Electric Utilities
6,DUK/PA,24.91,78981849975,Utilities,Electric Utilities
6,DUK,102.38,78981849975,Utilities,Electric Utilities
6,DEO,140.91,77900219223,Consumer Non-Durables,Beverages: Alcoholic
7,CDNS,282.57,76896907132,Technology Services,Packaged Software
6,CL,93.47,76686630719,Consumer Non-Durables,Household/Personal Care
9,ICE,133.39,76510440599,Finance,Investment Banks/Brokers
6,CME,211.84,76276245252,Finance,Investment Banks/Brokers
8,CP,81.67,76173983438,Transportation,Railroads
6,MO,44.29,76073672294,Consumer Non-Durables,Tobacco
10,APH,126.61,76042465573,Electronic Technology,Electronic Components
8,CRWD,313.76,75888653079,Technology Services,Packaged Software
8,TRI,166.95,75355112684,Technology Services,Internet Software/Services
9,ZTS,164.92,75252192911,Health Technology,Pharmaceuticals: Major
8,EOG,129.83,74614682447,Energy Minerals,Oil & Gas Production
6,SMFG,11.44,74294147246,Finance,Major Banks
6,TT,327.6,74153058187,Producer Manufacturing,Industrial Machinery
10,TGT,159.59,73831456836,Retail Trade,Specialty Stores
7,ITW,247.4,73824156669,Producer Manufacturing,Auto Parts: OEM
8,TDG,1315,73122234802,Electronic Technology,Aerospace & Defense
9,MCO,395.94,72298646862,Commercial Services,Financial Publishing/Services
7,BN,43.99,72178267888,Finance,Investment Managers
6,FCX,49.96,71663075205,Non-Energy Minerals,Other Metals/Minerals
6,MCK,543.61,71434852850,Distribution Services,Medical Distributors
7,PH,554.91,71328674594,Electronic Technology,Electronic Equipment/Instruments
3,INFY,17.09,70948771986,Technology Services,Information Technology Services
9,CTAS,690.54,70064429878,Consumer Services,Other Consumer Services
6,NOC,471.61,69793549930,Electronic Technology,Aerospace & Defense
7,CVS,54.91,68932533812,Retail Trade,Drugstore Chains
7,SLB,47.86,68408106475,Industrial Services,Contract Drilling
7,BDX,233.58,67506131728,Health Technology,Medical Specialties
6,BMO,92.86,67364697401,Finance,Major Banks
6,MAR,235.35,67221220632,Consumer Services,Hotels/Resorts/Cruise lines
7,CSX,34.22,66897608570,Transportation,Railroads
9,BTI,30.16,66850069291,Consumer Non-Durables,Tobacco
9,PYPL,63.81,66748198005,Commercial Services,Miscellaneous Commercial Services
7,ECL,233.23,66603441765,Process Industries,Chemicals: Specialty
6,NXPI,260.21,66531473391,Electronic Technology,Semiconductors
9,WDAY,249.63,66250308624,Technology Services,Information Technology Services
4,EQIX,692.71,65545223039,Finance,Real Estate Investment Trusts
10,CEG,208,65545155762,Utilities,Electric Utilities
9,USB/PS,19.65,65055568539,Finance,Major Banks
9,USB/PR,17.5,65055568539,Finance,Major Banks
9,USB/PQ,16.48,65055568539,Finance,Major Banks
9,USB/PP,23.79,65055568539,Finance,Major Banks
9,USB/PH,20.17,65055568539,Finance,Major Banks
9,USB/PA,865,65055568539,Finance,Major Banks
9,USB,41.69,65055568539,Finance,Major Banks
8,STLA,21.44,64661446259,Consumer Durables,Motor Vehicles
,APOS,26.53,64479529399,Finance,Investment Managers
6,APO/PA,63.46,64479529399,Finance,Investment Managers
6,APO,113.32,64479529399,Finance,Investment Managers
5,BBVA,11.05,64414273732,Finance,Major Banks
10,EMR,112.65,64402007247,Electronic Technology,Electronic Equipment/Instruments
7,MPC,180.93,63747150235,Energy Minerals,Oil Refining/Marketing
6,FDX,258.01,63491296585,Transportation,Air Freight/Couriers
6,PNC,157.21,62554992962,Finance,Major Banks
9,PSX,146.94,62295525242,Energy Minerals,Oil Refining/Marketing
7,AON,283.81,61709026551,Finance,Insurance Brokers/Services
10,EPD,28.39,61556484485,Industrial Services,Oil & Gas Pipelines
6,AMX,19.67,61277451650,Communications,Wireless Telecommunications
9,NTES,96.63,60572821255,Technology Services,Packaged Software
5,ORLY,1020.34,60237392522,Retail Trade,Specialty Stores
9,MSI,359.02,59879895219,Electronic Technology,Telecommunications Equipment
8,ITUB,6.54,59469582360,Finance,Major Banks
8,RSG,187.33,58996299170,Industrial Services,Environmental Services
10,MRVL,68.11,58983260529,Electronic Technology,Semiconductors
9,WELL,98.4,58834954867,Finance,Real Estate Investment Trusts
7,BNS,47.8,58417942059,Finance,Major Banks
10,SPOT,298.65,58316392150,Technology Services,Internet Software/Services
4,CARR,64.31,57944112460,Producer Manufacturing,Industrial Machinery
6,HMC,33.88,57822384354,Consumer Durables,Motor Vehicles
8,NU,12,57191245704,Technology Services,Information Technology Services
5,MNST,54.3,56506546521,Consumer Non-Durables,Beverages: Non-Alcoholic
9,OXY,63.68,56450073747,Energy Minerals,Integrated Oil
9,ING,17.32,56244006801,Finance,Major Banks
9,PCAR,107.05,56109771677,Producer Manufacturing,Trucks/Construction/Farm Machinery
7,ROP,521.05,55775552496,Technology Services,Packaged Software
N/A,CRH,79.78,55100725210,Non-Energy Minerals,Construction Materials
6,APD,246.27,54747276963,Process Industries,Chemicals: Specialty
9,ET/PE,24.9899,54726060486,Industrial Services,Oil & Gas Pipelines
9,ET,16.25,54726060486,Industrial Services,Oil & Gas Pipelines
5,COF/PN,16.8711,54549928259,Finance,Major Banks
5,COF/PL,17.17,54549928259,Finance,Major Banks
5,COF/PK,18.68,54549928259,Finance,Major Banks
5,COF/PJ,18.76,54549928259,Finance,Major Banks
5,COF/PI,19.905,54549928259,Finance,Major Banks
5,COF,142.83,54549928259,Finance,Major Banks
6,VALE,12.55,53939331809,Non-Energy Minerals,Steel
9,AJG,245.01,53534683800,Finance,Insurance Brokers/Services
3,MMM,96.35,53316357240,Health Technology,Medical Specialties
6,CPRT,55.16,53034232300,Retail Trade,Specialty Stores
7,AIG,79.89,53020438494,Finance,Multi-Line Insurance
1,SNOW,157.78,52730077518,Technology Services,Packaged Software
5,TFC/PR,20.41,52569531598,Finance,Regional Banks
5,TFC/PO,22.8,52569531598,Finance,Regional Banks
5,TFC/PI,22.045,52569531598,Finance,Regional Banks
5,TFC,39.39,52569531598,Finance,Regional Banks
9,NSC,232.14,52443683247,Transportation,Railroads
9,E,31.98,52201970687,Energy Minerals,Oil Refining/Marketing
6,COIN,211.2,51864158619,Finance,Investment Banks/Brokers
4,GM,45.05,51400157381,Consumer Durables,Motor Vehicles
8,VLO,157.07,51361321981,Energy Minerals,Oil Refining/Marketing
8,EW,85.09,51275229716,Health Technology,Medical Specialties
8,AZO,2962.52,51260182927,Retail Trade,Specialty Stores
6,NGG,69.84,51217858858,Utilities,Electric Utilities
5,MET/PF,20.84,50959106386,Finance,Multi-Line Insurance
5,MET/PE,23.965,50959106386,Finance,Multi-Line Insurance
5,MET/PA,24.42,50959106386,Finance,Multi-Line Insurance
5,MET,71.66,50959106386,Finance,Multi-Line Insurance
9,DXCM,127.42,50672873896,Health Technology,Medical Specialties
10,IBKR,119.72,50411216774,Finance,Investment Banks/Brokers
10,SU,39.04,50245378989,Energy Minerals,Integrated Oil
7,HLT,200.39,50106728012,Consumer Services,Hotels/Resorts/Cruise lines
9,TRV,217.34,49769423184,Finance,Property/Casualty Insurance
8,MCHP,91.99,49710285396,Electronic Technology,Semiconductors
7,MFG,3.9,48782112597,Finance,Major Banks
7,DHI,147.74,48652594490,Consumer Durables,Homebuilding
9,HES,157.66,48576472265,Energy Minerals,Integrated Oil
2,F/PD,24.75,48506895256,Consumer Durables,Motor Vehicles
2,F/PC,23.95,48506895256,Consumer Durables,Motor Vehicles
2,F/PB,24.04,48506895256,Consumer Durables,Motor Vehicles
2,F,12.15,48506895256,Consumer Durables,Motor Vehicles
8,AFL,84.83,48202308260,Finance,Multi-Line Insurance
6,SPG/PJ,59.1,48192761372,Finance,Real Estate Investment Trusts
6,SPG,147.88,48192761372,Finance,Real Estate Investment Trusts
8,SMCI,822.64,48170941558,Electronic Technology,Computer Processing Hardware
9,PLTR,21.56,48014248929,Technology Services,Packaged Software
9,WMB,39.32,47921408022,Industrial Services,Oil & Gas Pipelines
6,NEM,41.54,47901447406,Non-Energy Minerals,Precious Metals
10,AEP,90.58,47746690451,Utilities,Electric Utilities
,SREA,24.08,47556643867,Utilities,Electric Utilities
7,SRE,75.23,47556643867,Utilities,Electric Utilities
9,PSA/PS,18.02,47273448903,Finance,Real Estate Investment Trusts
9,PSA/PR,17.68,47273448903,Finance,Real Estate Investment Trusts
9,PSA/PQ,17.4,47273448903,Finance,Real Estate Investment Trusts
9,PSA/PP,17.75,47273448903,Finance,Real Estate Investment Trusts
9,PSA/PO,17.11,47273448903,Finance,Real Estate Investment Trusts
9,PSA/PN,17.09,47273448903,Finance,Real Estate Investment Trusts
9,PSA/PM,18.3599,47273448903,Finance,Real Estate Investment Trusts
9,PSA/PL,20.59,47273448903,Finance,Real Estate Investment Trusts
9,PSA/PK,21.04,47273448903,Finance,Real Estate Investment Trusts
9,PSA/PJ,20.8099,47273448903,Finance,Real Estate Investment Trusts
9,PSA/PI,21.95,47273448903,Finance,Real Estate Investment Trusts
9,PSA/PH,24.78,47273448903,Finance,Real Estate Investment Trusts
9,PSA/PG,22.95,47273448903,Finance,Real Estate Investment Trusts
9,PSA/PF,22.95,47273448903,Finance,Real Estate Investment Trusts
9,PSA,269.02,47273448903,Finance,Real Estate Investment Trusts
5,STZ,258.36,47273154120,Consumer Non-Durables,Beverages: Alcoholic
9,O/P,23.5,47182397250,Finance,Real Estate Investment Trusts
9,O,54.79,47182397250,Finance,Real Estate Investment Trusts
5,MRNA,121.89,46713088698,Health Technology,Biotechnology
5,GWW,948.92,46562370261,Distribution Services,Wholesale Distributors
3,TEAM,178.52,46468428564,Technology Services,Packaged Software
3,EL,129.53,46433060389,Consumer Non-Durables,Household/Personal Care
2,DASH,113.02,46215506531,Transportation,Air Freight/Couriers
9,OKE,79.14,46189816229,Industrial Services,Oil & Gas Pipelines
4,ADSK,213.95,46101134803,Technology Services,Packaged Software
5,KMB,135.93,45768862225,Consumer Non-Durables,Household/Personal Care
9,KDP,33.7,45682852206,Consumer Non-Durables,Beverages: Non-Alcoholic
3,FTNT,59.63,45553623057,Technology Services,Information Technology Services
6,CM,48.59,45541807221,Finance,Regional Banks
10,LULU,345.61,45284819013,Retail Trade,Internet Retail
5,URI,677.84,45137318362,Finance,Finance/Rental/Leasing
N/A,GEV,164,44950000000,Producer Manufacturing,Electrical Products
6,ALL/PJ,26.79,44912929424,Finance,Property/Casualty Insurance
6,ALL/PI,21.18,44912929424,Finance,Property/Casualty Insurance
6,ALL/PH,21.97,44912929424,Finance,Property/Casualty Insurance
6,ALL/PB,26.17,44912929424,Finance,Property/Casualty Insurance
6,ALL,170.28,44912929424,Finance,Property/Casualty Insurance
10,COR,224.11,44699142456,Distribution Services,Medical Distributors
10,ROST,132.76,44515368540,Retail Trade,Apparel/Footwear Retail
N/A,FERG,219.53,44462482309,Distribution Services,Wholesale Distributors
9,TEL,144.8,44341885578,Electronic Technology,Semiconductors
7,MFC,24.47,44187877395,Finance,Multi-Line Insurance
5,CHTR,272.78,43978632379,Consumer Services,Cable/Satellite TV
9,JCI,65.24,43950590602,Producer Manufacturing,Industrial Machinery
6,SQ,71.14,43896650848,Technology Services,Information Technology Services
7,DLR/PL,21.79,43817835663,Finance,Real Estate Investment Trusts
7,DLR/PK,23.21,43817835663,Finance,Real Estate Investment Trusts
7,DLR/PJ,21.5095,43817835663,Finance,Real Estate Investment Trusts
7,DLR,140.25,43817835663,Finance,Real Estate Investment Trusts
9,D,52.15,43712688938,Utilities,Electric Utilities
,LEN.B,146.97,43695311590,Consumer Durables,Homebuilding
9,LEN,158.47,43695311590,Consumer Durables,Homebuilding
6,PAYX,121.19,43623959070,Technology Services,Data Processing Services
8,KHC,35.89,43581157914,Consumer Non-Durables,Food: Major Diversified
6,JD,31.95,43360034892,Retail Trade,Internet Retail
5,BK,57.51,43006885167,Finance,Investment Banks/Brokers
10,WCN,165.4,42676703498,Transportation,Trucking
7,LYG,2.67,42471183076,Finance,Major Banks
10,MPLX,41.77,42446493965,Industrial Services,Oil & Gas Pipelines
8,AMP,425.94,42306456946,Finance,Investment Banks/Brokers
4,CCI,97.31,42283453855,Finance,Real Estate Investment Trusts
7,TTD,86.02,42058354310,Technology Services,Packaged Software
7,PRU,116.69,41891710876,Finance,Life/Health Insurance
,PRS,24.08,41891710876,Finance,Life/Health Insurance
,PRH,25.47,41891710876,Finance,Life/Health Insurance
,PFH,19.64,41891710876,Finance,Life/Health Insurance
7,A,142.8,41848293070,Health Technology,Medical Specialties
8,KMI,18.81,41746621664,Industrial Services,Oil & Gas Pipelines
8,FIS,74.05,41580016801,Technology Services,Packaged Software
6,IQV,227.88,41519736194,Health Services,Services to the Health Industry
9,DOW,58.64,41235988301,Process Industries,Chemicals: Specialty
7,TAK,13.06,40961640925,Health Technology,Pharmaceuticals: Major
7,LHX,215.81,40934917788,Electronic Technology,Aerospace & Defense
4,HSY,199.96,40781886969,Consumer Non-Durables,Food: Specialty/Candy
7,NUE,169.8,40748596234,Non-Energy Minerals,Steel
5,CNC,75.85,40477807230,Health Services,Managed Health Care
4,IDXX,487.07,40225809504,Health Technology,Medical Specialties
9,ALC,80.35,40150897324,Health Technology,Medical Specialties
6,KR,55.38,39967074802,Retail Trade,Food Retail
10,BIDU,109.6,39678526270,Technology Services,Internet Software/Services
8,CTVA,56.82,39602176856,Process Industries,Chemicals: Agricultural
9,BCS,10.72,39597741739,Finance,Investment Banks/Brokers
4,ODFL,181.7,39551419854,Transportation,Trucking
6,CMI,289.06,39537590828,Producer Manufacturing,Auto Parts: OEM
6,TRP,37.87,39289662719,Industrial Services,Oil & Gas Pipelines
7,GIS,69.53,39253075087,Consumer Non-Durables,Food: Major Diversified
2,DDOG,117.28,39177815136,Technology Services,Packaged Software
6,KVUE,20.45,39153201503,Consumer Non-Durables,Household/Personal Care
8,AME,169.14,39150763601,Producer Manufacturing,Electrical Products
8,HUM,324.14,39059077023,Health Services,Managed Health Care
10,CVE,20.75,38841277069,Energy Minerals,Integrated Oil
8,PWR,264.98,38790015276,Industrial Services,Engineering & Construction
4,YUM,136.96,38531817865,Consumer Services,Restaurants
7,CPNG,21.46,38359027966,Retail Trade,Internet Retail
7,FAST,66.78,38234716297,Distribution Services,Wholesale Distributors
4,OTIS,94.52,38216591111,Producer Manufacturing,Building Products
9,SE,66.75,38203695467,Retail Trade,Internet Retail
9,PCG,17.84,38126907025,Utilities,Electric Utilities
8,EXC,37.82,37820950735,Utilities,Electric Utilities
5,ABEV,2.37,37595972928,Consumer Non-Durables,Beverages: Alcoholic
9,HLN,8.19,37450278589,Distribution Services,Medical Distributors
8,MSCI,470.75,37294794512,Technology Services,Data Processing Services
7,IMO,69.5,37240657162,Energy Minerals,Integrated Oil
10,SYY,74.62,37159456520,Distribution Services,Food Distributors
,ACGLO,22.74,37113136145,Finance,Multi-Line Insurance
